Strain	Strain_2	Condition	Line	Generation	Replicate	Temperature	Highlight	Species	Rate	OD	Rate_fitness	OD_fitness	Line.1	Strain_3
SA2-4	2	Control	SA2-4_Control	250	3	Control	SA-2	SA	0.128	1.093	-0.005	-0.126	4	2_Control
SA2-1	2	Treatment	SA2-1_Treatment	250	1	Control	SA-2	SA	0.121	1.172	-0.012	-0.046	1	2_Treatment
SA2-1	2	Treatment	SA2-1_Treatment	250	2	Control	SA-2	SA	0.115	1.142	-0.018	-0.076	1	2_Treatment
SA2-1	2	Treatment	SA2-1_Treatment	250	3	Control	SA-2	SA	0.109	1.098	-0.024	-0.12	1	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	1	Control	SA-2	SA	0.096	0.894	-0.037	-0.325	2	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	2	Control	SA-2	SA	0.093	1.055	-0.04	-0.163	2	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	3	Control	SA-2	SA	0.087	0.656	-0.046	-0.562	2	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	1	Control	SA-2	SA	0.106	1.083	-0.027	-0.136	3	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	2	Control	SA-2	SA	0.103	1.151	-0.03	-0.067	3	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	3	Control	SA-2	SA	0.103	0.909	-0.03	-0.309	3	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	1	Control	SA-2	SA	0.097	0.908	-0.036	-0.311	4	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	2	Control	SA-2	SA	0.108	0.972	-0.025	-0.246	4	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	3	Control	SA-2	SA	0.101	0.921	-0.032	-0.298	4	2_Treatment
SA2	2	Ancestral	SA2_Ancestral	0	1	Treatment	SA-2	SA	0	0	0	0	Ancestral	2_Ancestral
SA2	2	Ancestral	SA2_Ancestral	0	2	Treatment	SA-2	SA	0	0	0	0	Ancestral	2_Ancestral
SA2	2	Ancestral	SA2_Ancestral	0	3	Treatment	SA-2	SA	0	0	0	0	Ancestral	2_Ancestral
SA2-1	2	Control	SA2-1_Control	250	1	Treatment	SA-2	SA	0	0	0	0	1	2_Control
SA2-1	2	Control	SA2-1_Control	250	2	Treatment	SA-2	SA	0	0	0	0	1	2_Control
SA2-1	2	Control	SA2-1_Control	250	3	Treatment	SA-2	SA	0	0	0	0	1	2_Control
SA2-2	2	Control	SA2-2_Control	250	1	Treatment	SA-2	SA	0	0	0	0	2	2_Control
SA2-2	2	Control	SA2-2_Control	250	2	Treatment	SA-2	SA	0	0	0	0	2	2_Control
SA2-2	2	Control	SA2-2_Control	250	3	Treatment	SA-2	SA	0	0	0	0	2	2_Control
SA2-3	2	Control	SA2-3_Control	250	1	Treatment	SA-2	SA	0	0	0	0	3	2_Control
SA2-3	2	Control	SA2-3_Control	250	2	Treatment	SA-2	SA	0	0	0	0	3	2_Control
SA2-3	2	Control	SA2-3_Control	250	3	Treatment	SA-2	SA	0	0	0	0	3	2_Control
SA2-4	2	Control	SA2-4_Control	250	1	Treatment	SA-2	SA	0	0	0	0	4	2_Control
SA2-4	2	Control	SA2-4_Control	250	2	Treatment	SA-2	SA	0	0	0	0	4	2_Control
SA2-4	2	Control	SA2-4_Control	250	3	Treatment	SA-2	SA	0	0	0	0	4	2_Control
SA2-1	2	Treatment	SA2-1_Treatment	250	1	Treatment	SA-2	SA	0.084	1.086	0.084	1.086	1	2_Treatment
SA2-1	2	Treatment	SA2-1_Treatment	250	2	Treatment	SA-2	SA	0.071	0.937	0.071	0.937	1	2_Treatment
SA2-1	2	Treatment	SA2-1_Treatment	250	3	Treatment	SA-2	SA	0.062	0.781	0.062	0.781	1	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	1	Treatment	SA-2	SA	0.081	1.083	0.081	1.083	2	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	2	Treatment	SA-2	SA	0.079	1.259	0.079	1.259	2	2_Treatment
SA2-2	2	Treatment	SA2-2_Treatment	250	3	Treatment	SA-2	SA	0.079	0.952	0.079	0.952	2	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	1	Treatment	SA-2	SA	0.095	1.065	0.095	1.065	3	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	2	Treatment	SA-2	SA	0.087	0.923	0.087	0.923	3	2_Treatment
SA2-3	2	Treatment	SA2-3_Treatment	250	3	Treatment	SA-2	SA	0.09	1.053	0.09	1.053	3	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	1	Treatment	SA-2	SA	0.078	1.043	0.078	1.043	4	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	2	Treatment	SA-2	SA	0.071	0.906	0.071	0.906	4	2_Treatment
SA2-4	2	Treatment	SA2-4_Treatment	250	3	Treatment	SA-2	SA	0.079	1.259	0.079	1.259	4	2_Treatment
SP1	1	Ancestral	SP1_Ancestral	0	1	Control	SP-1	SP	0.114	1.118	0.001	0.006	Ancestral	1_Ancestral
SP1	1	Ancestral	SP1_Ancestral	0	2	Control	SP-1	SP	0.115	1.133	0.002	0.021	Ancestral	1_Ancestral
SP1	1	Ancestral	SP1_Ancestral	0	3	Control	SP-1	SP	0.11	1.085	-0.003	-0.027	Ancestral	1_Ancestral
SP1-1	1	Control	SP1-1_Control	350	1	Control	SP-1	SP	0.12	1.188	0.007	0.076	1	1_Control
SP1-1	1	Control	SP1-1_Control	350	2	Control	SP-1	SP	0.118	1.165	0.005	0.053	1	1_Control
SP1-1	1	Control	SP1-1_Control	350	3	Control	SP-1	SP	0.109	1.097	-0.004	-0.015	1	1_Control
SP1-2	1	Control	SP1-2_Control	350	1	Control	SP-1	SP	0.105	1.065	-0.008	-0.047	2	1_Control
SP1-2	1	Control	SP1-2_Control	350	2	Control	SP-1	SP	0.11	1.119	-0.003	0.007	2	1_Control
SP1-2	1	Control	SP1-2_Control	350	3	Control	SP-1	SP	0.102	1.049	-0.011	-0.063	2	1_Control
SP1-3	1	Control	SP1-3_Control	350	1	Control	SP-1	SP	0.102	1.081	-0.011	-0.031	3	1_Control
SP1-3	1	Control	SP1-3_Control	350	2	Control	SP-1	SP	0.104	1.097	-0.009	-0.015	3	1_Control
SP1-3	1	Control	SP1-3_Control	350	3	Control	SP-1	SP	0.102	1.092	-0.011	-0.02	3	1_Control
SP1-4	1	Control	SP1-4_Control	350	1	Control	SP-1	SP	0.104	1.082	-0.009	-0.03	4	1_Control
SP1-4	1	Control	SP1-4_Control	350	2	Control	SP-1	SP	0.097	1.015	-0.016	-0.097	4	1_Control
SP1-4	1	Control	SP1-4_Control	350	3	Control	SP-1	SP	0.112	1.134	-0.001	0.022	4	1_Control
SP1-1	1	Treatment	SP1-1_Treatment	350	1	Control	SP-1	SP	0.124	1.439	0.011	0.327	1	1_Treatment
SP1-1	1	Treatment	SP1-1_Treatment	350	2	Control	SP-1	SP	0.1	1.158	-0.013	0.046	1	1_Treatment
SP1-1	1	Treatment	SP1-1_Treatment	350	3	Control	SP-1	SP	0.101	1.145	-0.012	0.033	1	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	1	Control	SP-1	SP	0.106	1.195	-0.007	0.083	2	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	2	Control	SP-1	SP	0.116	1.312	0.003	0.2	2	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	3	Control	SP-1	SP	0.091	1.048	-0.022	-0.064	2	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	1	Control	SP-1	SP	0.076	0.969	-0.038	-0.143	3	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	2	Control	SP-1	SP	0.113	1.346	0	0.234	3	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	3	Control	SP-1	SP	0.084	1.009	-0.029	-0.103	3	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	1	Control	SP-1	SP	0.089	1.071	-0.024	-0.041	4	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	2	Control	SP-1	SP	0.093	1.085	-0.02	-0.027	4	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	3	Control	SP-1	SP	0.098	1.128	-0.015	0.016	4	1_Treatment
SP1	1	Ancestral	SP1_Ancestral	0	1	Treatment	SP-1	SP	0.156	0.939	-0.013	-0.086	Ancestral	1_Ancestral
SP1	1	Ancestral	SP1_Ancestral	0	2	Treatment	SP-1	SP	0.179	1.087	0.01	0.062	Ancestral	1_Ancestral
SP1	1	Ancestral	SP1_Ancestral	0	3	Treatment	SP-1	SP	0.172	1.05	0.003	0.025	Ancestral	1_Ancestral
SP1-1	1	Control	SP1-1_Control	350	1	Treatment	SP-1	SP	0.116	0.756	-0.053	-0.269	1	1_Control
SP1-1	1	Control	SP1-1_Control	350	2	Treatment	SP-1	SP	0.145	0.946	-0.024	-0.079	1	1_Control
SP1-1	1	Control	SP1-1_Control	350	3	Treatment	SP-1	SP	0.166	1.038	-0.003	0.013	1	1_Control
SP1-2	1	Control	SP1-2_Control	350	1	Treatment	SP-1	SP	0.149	0.949	-0.02	-0.076	2	1_Control
SP1-2	1	Control	SP1-2_Control	350	2	Treatment	SP-1	SP	0.138	0.89	-0.031	-0.135	2	1_Control
SP1-2	1	Control	SP1-2_Control	350	3	Treatment	SP-1	SP	0.176	1.087	0.007	0.062	2	1_Control
SP1-3	1	Control	SP1-3_Control	350	1	Treatment	SP-1	SP	0.168	1.04	-0.001	0.015	3	1_Control
SP1-3	1	Control	SP1-3_Control	350	2	Treatment	SP-1	SP	0.158	0.98	-0.011	-0.045	3	1_Control
SP1-3	1	Control	SP1-3_Control	350	3	Treatment	SP-1	SP	0.187	1.161	0.018	0.136	3	1_Control
SP1-4	1	Control	SP1-4_Control	350	1	Treatment	SP-1	SP	0.138	0.872	-0.031	-0.153	4	1_Control
SP1-4	1	Control	SP1-4_Control	350	2	Treatment	SP-1	SP	0.187	1.17	0.018	0.145	4	1_Control
SP1-4	1	Control	SP1-4_Control	350	3	Treatment	SP-1	SP	0.155	0.967	-0.014	-0.058	4	1_Control
SP1-1	1	Treatment	SP1-1_Treatment	350	1	Treatment	SP-1	SP	0.16	1.023	-0.009	-0.002	1	1_Treatment
SP1-1	1	Treatment	SP1-1_Treatment	350	2	Treatment	SP-1	SP	0.154	1.001	-0.015	-0.024	1	1_Treatment
SP1-1	1	Treatment	SP1-1_Treatment	350	3	Treatment	SP-1	SP	0.16	1.049	-0.009	0.024	1	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	1	Treatment	SP-1	SP	0.169	1.112	0	0.087	2	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	2	Treatment	SP-1	SP	0.121	0.811	-0.048	-0.214	2	1_Treatment
SP1-2	1	Treatment	SP1-2_Treatment	350	3	Treatment	SP-1	SP	0.173	1.136	0.004	0.111	2	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	1	Treatment	SP-1	SP	0.156	1.021	-0.013	-0.004	3	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	2	Treatment	SP-1	SP	0.165	1.105	-0.004	0.08	3	1_Treatment
SP1-3	1	Treatment	SP1-3_Treatment	350	3	Treatment	SP-1	SP	0.17	1.156	0.001	0.131	3	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	1	Treatment	SP-1	SP	0.168	1.116	-0.001	0.091	4	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	2	Treatment	SP-1	SP	0.193	1.271	0.024	0.246	4	1_Treatment
SP1-4	1	Treatment	SP1-4_Treatment	350	3	Treatment	SP-1	SP	0.168	1.102	-0.001	0.077	4	1_Treatment
SM2	2	Ancestral	SM2_Ancestral	0	1	Control	SM-2	SM	0.138	1.332	0.019	0.221	Ancestral	2_Ancestral
SM2	2	Ancestral	SM2_Ancestral	0	2	Control	SM-2	SM	0.106	0.966	-0.013	-0.145	Ancestral	2_Ancestral
SM2	2	Ancestral	SM2_Ancestral	0	3	Control	SM-2	SM	0.113	1.036	-0.006	-0.075	Ancestral	2_Ancestral
SM2-1	2	Control	SM2-1_Control	350	1	Control	SM-2	SM	0.161	1.221	0.042	0.109	1	2_Control
SM2-1	2	Control	SM2-1_Control	350	2	Control	SM-2	SM	0.148	1.144	0.029	0.033	1	2_Control
SM2-1	2	Control	SM2-1_Control	350	3	Control	SM-2	SM	0.152	1.159	0.033	0.047	1	2_Control
SM2-2	2	Control	SM2-2_Control	350	1	Control	SM-2	SM	0.145	1.146	0.026	0.035	2	2_Control
SM2-2	2	Control	SM2-2_Control	350	2	Control	SM-2	SM	0.152	1.25	0.033	0.139	2	2_Control
SM2-2	2	Control	SM2-2_Control	350	3	Control	SM-2	SM	0.146	1.15	0.027	0.039	2	2_Control
SM2-3	2	Control	SM2-3_Control	350	1	Control	SM-2	SM	0.148	1.154	0.029	0.043	3	2_Control
SM2-3	2	Control	SM2-3_Control	350	2	Control	SM-2	SM	0.146	1.154	0.027	0.043	3	2_Control
SM2-3	2	Control	SM2-3_Control	350	3	Control	SM-2	SM	0.137	1.086	0.018	-0.025	3	2_Control
SM2-4	2	Control	SM2-4_Control	350	1	Control	SM-2	SM	0.142	1.103	0.023	-0.009	4	2_Control
SM2-4	2	Control	SM2-4_Control	350	2	Control	SM-2	SM	0.142	1.081	0.023	-0.031	4	2_Control
SM2-4	2	Control	SM2-4_Control	350	3	Control	SM-2	SM	0.151	1.121	0.032	0.009	4	2_Control
SM2-1	2	Treatment	SM2-1_Treatment	350	1	Control	SM-2	SM	0.096	1.379	-0.023	0.268	1	2_Treatment
SM2-1	2	Treatment	SM2-1_Treatment	350	2	Control	SM-2	SM	0.0878	1.291	-0.031	0.179	1	2_Treatment
SM2-1	2	Treatment	SM2-1_Treatment	350	3	Control	SM-2	SM	0.0841	1.26	-0.035	0.149	1	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	1	Control	SM-2	SM	0.115	1.146	-0.004	0.035	2	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	2	Control	SM-2	SM	0.118	1.172	-0.001	0.061	2	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	3	Control	SM-2	SM	0.113	1.029	-0.006	-0.082	2	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	1	Control	SM-2	SM	0.124	1.18	0.005	0.069	3	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	2	Control	SM-2	SM	0.125	1.285	0.006	0.174	3	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	3	Control	SM-2	SM	0.135	1.187	0.016	0.076	3	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	1	Control	SM-2	SM	0.128	1.229	0.009	0.118	4	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	2	Control	SM-2	SM	0.127	1.168	0.008	0.056	4	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	3	Control	SM-2	SM	0.124	1.229	0.005	0.118	4	2_Treatment
SM2	2	Ancestral	SM2_Ancestral	0	1	Treatment	SM-2	SM	0.079	0.857	0.007	0.126	Ancestral	2_Ancestral
SM2	2	Ancestral	SM2_Ancestral	0	2	Treatment	SM-2	SM	0.0654	0.667	-0.006	-0.063	Ancestral	2_Ancestral
SM2	2	Ancestral	SM2_Ancestral	0	3	Treatment	SM-2	SM	0.0712	0.668	-0.001	-0.062	Ancestral	2_Ancestral
SM2-1	2	Control	SM2-1_Control	350	1	Treatment	SM-2	SM	0.0765	0.75	0.005	0.019	1	2_Control
SM2-1	2	Control	SM2-1_Control	350	2	Treatment	SM-2	SM	0.0843	0.833	0.012	0.103	1	2_Control
SM2-1	2	Control	SM2-1_Control	350	3	Treatment	SM-2	SM	0.0743	0.71	0.002	-0.021	1	2_Control
SM2-2	2	Control	SM2-2_Control	350	1	Treatment	SM-2	SM	0.0506	0.561	-0.021	-0.17	2	2_Control
SM2-2	2	Control	SM2-2_Control	350	2	Treatment	SM-2	SM	0.0393	0.436	-0.033	-0.295	2	2_Control
SM2-2	2	Control	SM2-2_Control	350	3	Treatment	SM-2	SM	0.0795	0.805	0.008	0.074	2	2_Control
SM2-3	2	Control	SM2-3_Control	350	1	Treatment	SM-2	SM	0.0831	0.768	0.011	0.037	3	2_Control
SM2-3	2	Control	SM2-3_Control	350	2	Treatment	SM-2	SM	0.0756	0.71	0.004	-0.021	3	2_Control
SM2-3	2	Control	SM2-3_Control	350	3	Treatment	SM-2	SM	0.0859	0.801	0.014	0.07	3	2_Control
SM2-4	2	Control	SM2-4_Control	350	1	Treatment	SM-2	SM	0.0888	0.795	0.017	0.064	4	2_Control
SM2-4	2	Control	SM2-4_Control	350	2	Treatment	SM-2	SM	0.0877	0.782	0.016	0.052	4	2_Control
SM2-4	2	Control	SM2-4_Control	350	3	Treatment	SM-2	SM	0.0957	0.875	0.024	0.144	4	2_Control
SM2-1	2	Treatment	SM2-1_Treatment	350	1	Treatment	SM-2	SM	0.118	1.084	0.046	0.354	1	2_Treatment
SM2-1	2	Treatment	SM2-1_Treatment	350	2	Treatment	SM-2	SM	0.105	0.978	0.033	0.247	1	2_Treatment
SM2-1	2	Treatment	SM2-1_Treatment	350	3	Treatment	SM-2	SM	0.1115	0.431	0.04	-0.299	1	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	1	Treatment	SM-2	SM	0.0813	0.699	0.009	-0.031	2	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	2	Treatment	SM-2	SM	0.0981	0.846	0.026	0.116	2	2_Treatment
SM2-2	2	Treatment	SM2-2_Treatment	350	3	Treatment	SM-2	SM	0.0869	0.714	0.015	-0.017	2	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	1	Treatment	SM-2	SM	0.104	0.886	0.032	0.155	3	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	2	Treatment	SM-2	SM	0.118	1.091	0.046	0.36	3	2_Treatment
SM2-3	2	Treatment	SM2-3_Treatment	350	3	Treatment	SM-2	SM	0.11	1	0.038	0.269	3	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	1	Treatment	SM-2	SM	0.0944	0.839	0.023	0.108	4	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	2	Treatment	SM-2	SM	0.0982	0.878	0.026	0.147	4	2_Treatment
SM2-4	2	Treatment	SM2-4_Treatment	350	3	Treatment	SM-2	SM	0.106	1.086	0.034	0.356	4	2_Treatment
SP2	2	Ancestral	SP2_Ancestral	0	1	Control	SP-2	SP	0.147	1.104	0.005	0.043	Ancestral	2_Ancestral
SP2	2	Ancestral	SP2_Ancestral	0	2	Control	SP-2	SP	0.14	1.053	-0.002	-0.008	Ancestral	2_Ancestral
SP2	2	Ancestral	SP2_Ancestral	0	3	Control	SP-2	SP	0.139	1.026	-0.003	-0.035	Ancestral	2_Ancestral
SP2-1	2	Control	SP2-1_Control	350	1	Control	SP-2	SP	0.125	1.135	-0.017	0.074	1	2_Control
SP2-1	2	Control	SP2-1_Control	350	2	Control	SP-2	SP	0.0948	0.855	-0.047	-0.206	1	2_Control
SP2-1	2	Control	SP2-1_Control	350	3	Control	SP-2	SP	0.113	1.042	-0.029	-0.019	1	2_Control
SP2-2	2	Control	SP2-2_Control	350	1	Control	SP-2	SP	0.121	1.087	-0.021	0.026	2	2_Control
SP2-2	2	Control	SP2-2_Control	350	2	Control	SP-2	SP	0.116	1.065	-0.026	0.004	2	2_Control
SP2-2	2	Control	SP2-2_Control	350	3	Control	SP-2	SP	0.118	1.098	-0.024	0.037	2	2_Control
SP2-3	2	Control	SP2-3_Control	350	1	Control	SP-2	SP	0.103	1.048	-0.039	-0.013	3	2_Control
SP2-3	2	Control	SP2-3_Control	350	2	Control	SP-2	SP	0.0569	0.701	-0.085	-0.36	3	2_Control
SP2-3	2	Control	SP2-3_Control	350	3	Control	SP-2	SP	0.0791	0.843	-0.063	-0.218	3	2_Control
SP2-4	2	Control	SP2-4_Control	350	1	Control	SP-2	SP	0.103	1.023	-0.039	-0.038	4	2_Control
SP2-4	2	Control	SP2-4_Control	350	2	Control	SP-2	SP	0.0519	0.495	-0.09	-0.566	4	2_Control
SP2-4	2	Control	SP2-4_Control	350	3	Control	SP-2	SP	0.0888	0.809	-0.053	-0.252	4	2_Control
SP2-1	2	Treatment	SP2-1_Treatment	350	1	Control	SP-2	SP	0.128	1.287	-0.014	0.226	1	2_Treatment
SP2-1	2	Treatment	SP2-1_Treatment	350	2	Control	SP-2	SP	0.111	1.058	-0.031	-0.003	1	2_Treatment
SP2-1	2	Treatment	SP2-1_Treatment	350	3	Control	SP-2	SP	0.119	1.149	-0.023	0.088	1	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	1	Control	SP-2	SP	0.119	1.191	-0.023	0.13	2	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	2	Control	SP-2	SP	0.118	1.209	-0.024	0.148	2	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	3	Control	SP-2	SP	0.115	1.118	-0.027	0.057	2	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	1	Control	SP-2	SP	0.12	1.17	-0.022	0.109	3	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	2	Control	SP-2	SP	0.116	1.086	-0.026	0.025	3	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	3	Control	SP-2	SP	0.102	0.947	-0.04	-0.114	3	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	1	Control	SP-2	SP	0.0982	0.984	-0.044	-0.077	4	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	2	Control	SP-2	SP	0.0675	0.733	-0.075	-0.328	4	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	3	Control	SP-2	SP	0.114	1.161	-0.028	0.1	4	2_Treatment
SP2	2	Ancestral	SP2_Ancestral	0	1	Treatment	SP-2	SP	0.0574	0.585	-0.008	-0.06	Ancestral	2_Ancestral
SP2	2	Ancestral	SP2_Ancestral	0	2	Treatment	SP-2	SP	0.0744	0.721	0.009	0.077	Ancestral	2_Ancestral
SP2	2	Ancestral	SP2_Ancestral	0	3	Treatment	SP-2	SP	0.0657	0.628	0	-0.017	Ancestral	2_Ancestral
SP2-1	2	Control	SP2-1_Control	350	1	Treatment	SP-2	SP	0.0108	0.241	-0.055	-0.403	1	2_Control
SP2-1	2	Control	SP2-1_Control	350	2	Treatment	SP-2	SP	0.00692	0.164	-0.059	-0.481	1	2_Control
SP2-1	2	Control	SP2-1_Control	350	3	Treatment	SP-2	SP	0.00692	0.157	-0.059	-0.487	1	2_Control
SP2-2	2	Control	SP2-2_Control	350	1	Treatment	SP-2	SP	0.00773	0.186	-0.058	-0.459	2	2_Control
SP2-2	2	Control	SP2-2_Control	350	2	Treatment	SP-2	SP	0.0122	0.284	-0.054	-0.36	2	2_Control
SP2-2	2	Control	SP2-2_Control	350	3	Treatment	SP-2	SP	0.0142	0.322	-0.052	-0.322	2	2_Control
SP2-3	2	Control	SP2-3_Control	350	1	Treatment	SP-2	SP	0.03656	0.608	-0.029	-0.037	3	2_Control
SP2-3	2	Control	SP2-3_Control	350	2	Treatment	SP-2	SP	0.0359	0.6	-0.03	-0.045	3	2_Control
SP2-3	2	Control	SP2-3_Control	350	3	Treatment	SP-2	SP	0.0371	0.645	-0.029	0.001	3	2_Control
SP2-4	2	Control	SP2-4_Control	350	1	Treatment	SP-2	SP	0.0143	0.327	-0.052	-0.318	4	2_Control
SP2-4	2	Control	SP2-4_Control	350	2	Treatment	SP-2	SP	0.0157	0.369	-0.05	-0.276	4	2_Control
SP2-4	2	Control	SP2-4_Control	350	3	Treatment	SP-2	SP	0.0263	0.58	-0.04	-0.064	4	2_Control
SP2-1	2	Treatment	SP2-1_Treatment	350	1	Treatment	SP-2	SP	0.101	0.866	0.035	0.222	1	2_Treatment
SP2-1	2	Treatment	SP2-1_Treatment	350	2	Treatment	SP-2	SP	0.103	0.857	0.037	0.212	1	2_Treatment
SP2-1	2	Treatment	SP2-1_Treatment	350	3	Treatment	SP-2	SP	0.105	0.845	0.039	0.2	1	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	1	Treatment	SP-2	SP	0.0663	0.561	0	-0.083	2	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	2	Treatment	SP-2	SP	0.0576	0.571	-0.008	-0.073	2	2_Treatment
SP2-2	2	Treatment	SP2-2_Treatment	350	3	Treatment	SP-2	SP	0.095	0.798	0.029	0.154	2	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	1	Treatment	SP-2	SP	0.117	0.996	0.051	0.351	3	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	2	Treatment	SP-2	SP	0.107	0.875	0.041	0.23	3	2_Treatment
SP2-3	2	Treatment	SP2-3_Treatment	350	3	Treatment	SP-2	SP	0.0929	0.759	0.027	0.114	3	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	1	Treatment	SP-2	SP	0.0895	0.683	0.024	0.039	4	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	2	Treatment	SP-2	SP	0.103	0.824	0.037	0.179	4	2_Treatment
SP2-4	2	Treatment	SP2-4_Treatment	350	3	Treatment	SP-2	SP	0.0884	0.725	0.023	0.081	4	2_Treatment
SJ1	1	Ancestral	SJ1_Ancestral	0	1	Control	SJ-1	SJ	0.142	1.196	0.007	0.123	Ancestral	1_Ancestral
SJ1	1	Ancestral	SJ1_Ancestral	0	2	Control	SJ-1	SJ	0.132	1.009	-0.003	-0.065	Ancestral	1_Ancestral
SJ1	1	Ancestral	SJ1_Ancestral	0	3	Control	SJ-1	SJ	0.13	1.015	-0.005	-0.058	Ancestral	1_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	1	Control	SJ-2	SJ	0.119	1.037	-0.007	-0.028	Ancestral	2_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	2	Control	SJ-2	SJ	0.126	1.103	0	0.038	Ancestral	2_Ancestral
SJ2	2	Ancestral	SJ2_Ancestral	0	3	Control	SJ-2	SJ	0.132	1.054	0.006	-0.011	Ancestral	2_Ancestral
SJ1-1	1	Control	SJ1-1_Control	250	1	Control	SJ-1	SJ	0.099	1.251	-0.036	0.177	1	1_Control
SJ1-1	1	Control	SJ1-1_Control	250	2	Control	SJ-1	SJ	0.103	0.959	-0.032	-0.114	1	1_Control
SJ1-1	1	Control	SJ1-1_Control	250	3	Control	SJ-1	SJ	0.101	0.973	-0.034	-0.1	1	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	1	Control	SJ-1	SJ	0.104	1.322	-0.031	0.249	2	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	2	Control	SJ-1	SJ	0.102	1.393	-0.033	0.319	2	1_Control
SJ1-2	1	Control	SJ1-2_Control	250	3	Control	SJ-1	SJ	0.101	1.239	-0.034	0.165	2	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	1	Control	SJ-1	SJ	0.0516	0.77	-0.083	-0.304	3	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	2	Control	SJ-1	SJ	0.0515	0.741	-0.083	-0.332	3	1_Control
SJ1-3	1	Control	SJ1-3_Control	250	3	Control	SJ-1	SJ	0.0534	0.81	-0.081	-0.264	3	1_Control
SJ1-4	1	Control	SJ1-4_Control	250	1	Control	SJ-1	SJ	0.0995	1.024	-0.035	-0.049	4	1_Control
