Strain	Condition	Individual	Replicate	Highlight.1	Rate	OD	Temperature	Specie	Strain2	Line
SK2-2	Control	I2	3	SK2-2_Control_I2	0.344	1.183	25	SK	SK2	2
SK2-3	Control	I2	1	SK2-3_Control_I2	0.337	1.238	25	SK	SK2	3
SK2-3	Control	I2	2	SK2-3_Control_I2	0.342	1.233	25	SK	SK2	3
SK2-3	Control	I2	3	SK2-3_Control_I2	0.336	1.208	25	SK	SK2	3
SK2-4	Control	I2	1	SK2-4_Control_I2	0.345	1.175	25	SK	SK2	4
SK2-4	Control	I2	2	SK2-4_Control_I2	0.329	1.175	25	SK	SK2	4
SK2-4	Control	I2	3	SK2-4_Control_I2	0.364	1.122	25	SK	SK2	4
SK2-1	Control	I3	1	SK2-1_Control_I3	0.323	1.196	25	SK	SK2	1
SK2-1	Control	I3	2	SK2-1_Control_I3	0.338	1.072	25	SK	SK2	1
SK2-1	Control	I3	3	SK2-1_Control_I3	0.35	1.177	25	SK	SK2	1
SK2-2	Control	I3	1	SK2-2_Control_I3	0.353	1.217	25	SK	SK2	2
SK2-2	Control	I3	2	SK2-2_Control_I3	0.345	1.204	25	SK	SK2	2
SK2-2	Control	I3	3	SK2-2_Control_I3	0.379	1.217	25	SK	SK2	2
SK2-3	Control	I3	1	SK2-3_Control_I3	0.335	1.182	25	SK	SK2	3
SK2-3	Control	I3	2	SK2-3_Control_I3	0.325	1.207	25	SK	SK2	3
SK2-3	Control	I3	3	SK2-3_Control_I3	0.313	1.135	25	SK	SK2	3
SK2-4	Control	I3	1	SK2-4_Control_I3	0.367	1.197	25	SK	SK2	4
SK2-4	Control	I3	2	SK2-4_Control_I3	0.338	1.189	25	SK	SK2	4
SK2-4	Control	I3	3	SK2-4_Control_I3	0.365	1.174	25	SK	SK2	4
SK2-1	Treatment	I1	1	SK2-1_Treatment_I1	0.21	1.078	25	SK	SK2	1
SK2-1	Treatment	I1	2	SK2-1_Treatment_I1	0.202	0.977	25	SK	SK2	1
SK2-1	Treatment	I1	3	SK2-1_Treatment_I1	0.204	1.078	25	SK	SK2	1
SK2-2	Treatment	I1	1	SK2-2_Treatment_I1	0.449	1.257	25	SK	SK2	2
SK2-2	Treatment	I1	2	SK2-2_Treatment_I1	0.45	1.245	25	SK	SK2	2
SK2-2	Treatment	I1	3	SK2-2_Treatment_I1	0.493	1.226	25	SK	SK2	2
SK2-3	Treatment	I1	1	SK2-3_Treatment_I1	0.256	1.217	25	SK	SK2	3
SK2-3	Treatment	I1	2	SK2-3_Treatment_I1	0.246	1.267	25	SK	SK2	3
SK2-3	Treatment	I1	3	SK2-3_Treatment_I1	0.229	1.200	25	SK	SK2	3
SK2-4	Treatment	I1	1	SK2-4_Treatment_I1	0.198	1.311	25	SK	SK2	4
SK2-4	Treatment	I1	2	SK2-4_Treatment_I1	0.187	1.272	25	SK	SK2	4
SK2-4	Treatment	I1	3	SK2-4_Treatment_I1	0.2	1.216	25	SK	SK2	4
SK2-1	Treatment	I2	1	SK2-1_Treatment_I2	0.187	1.190	25	SK	SK2	1
SK2-1	Treatment	I2	2	SK2-1_Treatment_I2	0.193	1.054	25	SK	SK2	1
SK2-1	Treatment	I2	3	SK2-1_Treatment_I2	0.196	1.230	25	SK	SK2	1
SK2-2	Treatment	I2	1	SK2-2_Treatment_I2	0.237	1.119	25	SK	SK2	2
SK2-2	Treatment	I2	2	SK2-2_Treatment_I2	0.218	1.152	25	SK	SK2	2
SK2-2	Treatment	I2	3	SK2-2_Treatment_I2	0.253	1.038	25	SK	SK2	2
SK2-3	Treatment	I2	1	SK2-3_Treatment_I2	0.222	1.107	25	SK	SK2	3
SK2-3	Treatment	I2	2	SK2-3_Treatment_I2	0.249	1.204	25	SK	SK2	3
SK2-3	Treatment	I2	3	SK2-3_Treatment_I2	0.222	1.076	25	SK	SK2	3
SK2-4	Treatment	I2	1	SK2-4_Treatment_I2	0.247	1.283	25	SK	SK2	4
SK2-4	Treatment	I2	2	SK2-4_Treatment_I2	0.212	1.314	25	SK	SK2	4
SK2-4	Treatment	I2	3	SK2-4_Treatment_I2	0.236	1.231	25	SK	SK2	4
SK2-1	Treatment	I3	1	SK2-1_Treatment_I3	0.184	1.255	25	SK	SK2	1
SK2-1	Treatment	I3	2	SK2-1_Treatment_I3	0.186	1.235	25	SK	SK2	1
SK2-1	Treatment	I3	3	SK2-1_Treatment_I3	0.184	1.208	25	SK	SK2	1
SK2-2	Treatment	I3	1	SK2-2_Treatment_I3	0.22	1.126	25	SK	SK2	2
SK2-2	Treatment	I3	2	SK2-2_Treatment_I3	0.215	1.179	25	SK	SK2	2
SK2-2	Treatment	I3	3	SK2-2_Treatment_I3	0.227	1.243	25	SK	SK2	2
SK2-3	Treatment	I3	1	SK2-3_Treatment_I3	0.223	1.184	25	SK	SK2	3
SK2-3	Treatment	I3	2	SK2-3_Treatment_I3	0.261	1.261	25	SK	SK2	3
SK2-3	Treatment	I3	3	SK2-3_Treatment_I3	0.234	1.191	25	SK	SK2	3
SK2-4	Treatment	I3	1	SK2-4_Treatment_I3	0.188	1.296	25	SK	SK2	4
SK2-4	Treatment	I3	2	SK2-4_Treatment_I3	0.176	1.290	25	SK	SK2	4
SK2-4	Treatment	I3	3	SK2-4_Treatment_I3	0.197	1.322	25	SK	SK2	4
SK2	Ancestral	Ancestral	1	SK2_Ancestral	0.333	0.732	25	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	2	SK2_Ancestral	0.326	0.919	25	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	3	SK2_Ancestral	0.338	1.101	25	SK	SK2	Ancestral
SK2-1	Control	I1	1	SK2-1_Control_I1	0.319	1.202	28	SK	SK2	1
SK2-1	Control	I1	2	SK2-1_Control_I1	0.315	1.171	28	SK	SK2	1
SK2-1	Control	I1	3	SK2-1_Control_I1	0.319	1.097	28	SK	SK2	1
SK2-2	Control	I1	1	SK2-2_Control_I1	0.32	1.133	28	SK	SK2	2
SK2-2	Control	I1	2	SK2-2_Control_I1	0.31	1.103	28	SK	SK2	2
SK2-2	Control	I1	3	SK2-2_Control_I1	0.325	1.083	28	SK	SK2	2
SK2-3	Control	I1	1	SK2-3_Control_I1	0.292	1.115	28	SK	SK2	3
SK2-3	Control	I1	2	SK2-3_Control_I1	0.293	1.126	28	SK	SK2	3
SK2-3	Control	I1	3	SK2-3_Control_I1	0.262	1.080	28	SK	SK2	3
SK2-4	Control	I1	1	SK2-4_Control_I1	0.314	1.057	28	SK	SK2	4
SK2-4	Control	I1	2	SK2-4_Control_I1	0.308	1.142	28	SK	SK2	4
SK2-4	Control	I1	3	SK2-4_Control_I1	0.31	1.164	28	SK	SK2	4
SK2-1	Control	I2	1	SK2-1_Control_I2	0.315	1.182	28	SK	SK2	1
SK2-1	Control	I2	2	SK2-1_Control_I2	0.309	1.108	28	SK	SK2	1
SK2-1	Control	I2	3	SK2-1_Control_I2	0.313	1.143	28	SK	SK2	1
SK2-2	Control	I2	1	SK2-2_Control_I2	0.316	1.112	28	SK	SK2	2
SK2-2	Control	I2	2	SK2-2_Control_I2	0.296	1.168	28	SK	SK2	2
SK2-2	Control	I2	3	SK2-2_Control_I2	0.326	1.167	28	SK	SK2	2
SK2-3	Control	I2	1	SK2-3_Control_I2	0.326	1.150	28	SK	SK2	3
SK2-3	Control	I2	2	SK2-3_Control_I2	0.32	1.169	28	SK	SK2	3
SK2-3	Control	I2	3	SK2-3_Control_I2	0.31	1.152	28	SK	SK2	3
SK2-4	Control	I2	1	SK2-4_Control_I2	0.319	1.165	28	SK	SK2	4
SK2-4	Control	I2	2	SK2-4_Control_I2	0.302	1.136	28	SK	SK2	4
SK2-4	Control	I2	3	SK2-4_Control_I2	0.32	1.160	28	SK	SK2	4
SK2-1	Control	I3	1	SK2-1_Control_I3	0.297	1.185	28	SK	SK2	1
SK2-1	Control	I3	2	SK2-1_Control_I3	0.288	1.162	28	SK	SK2	1
SK2-1	Control	I3	3	SK2-1_Control_I3	0.312	1.139	28	SK	SK2	1
SK2-2	Control	I3	1	SK2-2_Control_I3	0.311	1.149	28	SK	SK2	2
SK2-2	Control	I3	2	SK2-2_Control_I3	0.314	1.168	28	SK	SK2	2
SK2-2	Control	I3	3	SK2-2_Control_I3	0.328	1.152	28	SK	SK2	2
SK2-3	Control	I3	1	SK2-3_Control_I3	0.297	1.113	28	SK	SK2	3
SK2-3	Control	I3	2	SK2-3_Control_I3	0.297	1.066	28	SK	SK2	3
SK2-3	Control	I3	3	SK2-3_Control_I3	0.294	1.121	28	SK	SK2	3
SK2-4	Control	I3	1	SK2-4_Control_I3	0.313	1.020	28	SK	SK2	4
SK2-4	Control	I3	2	SK2-4_Control_I3	0.314	1.082	28	SK	SK2	4
SK2-4	Control	I3	3	SK2-4_Control_I3	0.318	1.024	28	SK	SK2	4
SK2-1	Treatment	I1	1	SK2-1_Treatment_I1	0.149	1.081	28	SK	SK2	1
SK2-1	Treatment	I1	2	SK2-1_Treatment_I1	0.162	1.040	28	SK	SK2	1
SK2-1	Treatment	I1	3	SK2-1_Treatment_I1	0.162	1.167	28	SK	SK2	1
SK2-2	Treatment	I1	1	SK2-2_Treatment_I1	0.506	1.193	28	SK	SK2	2
SK2-2	Treatment	I1	2	SK2-2_Treatment_I1	0.464	1.257	28	SK	SK2	2
SK2-2	Treatment	I1	3	SK2-2_Treatment_I1	0.500	1.180	28	SK	SK2	2
SK2-3	Treatment	I1	1	SK2-3_Treatment_I1	0.247	1.177	28	SK	SK2	3
SK2-3	Treatment	I1	2	SK2-3_Treatment_I1	0.243	1.152	28	SK	SK2	3
SK2-3	Treatment	I1	3	SK2-3_Treatment_I1	0.239	1.162	28	SK	SK2	3
SK2-4	Treatment	I1	1	SK2-4_Treatment_I1	0.201	1.217	28	SK	SK2	4
SK2-4	Treatment	I1	2	SK2-4_Treatment_I1	0.21	1.264	28	SK	SK2	4
SK2-4	Treatment	I1	3	SK2-4_Treatment_I1	0.216	1.114	28	SK	SK2	4
SK2-1	Treatment	I2	1	SK2-1_Treatment_I2	0.15	1.185	28	SK	SK2	1
SK2-1	Treatment	I2	2	SK2-1_Treatment_I2	0.157	1.188	28	SK	SK2	1
SK2-1	Treatment	I2	3	SK2-1_Treatment_I2	0.168	1.127	28	SK	SK2	1
SK2-2	Treatment	I2	1	SK2-2_Treatment_I2	0.227	1.129	28	SK	SK2	2
SK2-2	Treatment	I2	2	SK2-2_Treatment_I2	0.226	1.209	28	SK	SK2	2
SK2-2	Treatment	I2	3	SK2-2_Treatment_I2	0.234	1.143	28	SK	SK2	2
SK2-3	Treatment	I2	1	SK2-3_Treatment_I2	0.229	1.166	28	SK	SK2	3
SK2-3	Treatment	I2	2	SK2-3_Treatment_I2	0.229	1.216	28	SK	SK2	3
SK2-3	Treatment	I2	3	SK2-3_Treatment_I2	0.217	1.164	28	SK	SK2	3
SK2-4	Treatment	I2	1	SK2-4_Treatment_I2	0.239	1.198	28	SK	SK2	4
SK2-4	Treatment	I2	2	SK2-4_Treatment_I2	0.237	1.192	28	SK	SK2	4
SK2-4	Treatment	I2	3	SK2-4_Treatment_I2	0.251	1.211	28	SK	SK2	4
SK2-1	Treatment	I3	1	SK2-1_Treatment_I3	0.146	1.374	28	SK	SK2	1
SK2-1	Treatment	I3	2	SK2-1_Treatment_I3	0.158	1.084	28	SK	SK2	1
SK2-1	Treatment	I3	3	SK2-1_Treatment_I3	0.167	1.165	28	SK	SK2	1
SK2-2	Treatment	I3	1	SK2-2_Treatment_I3	0.23	1.037	28	SK	SK2	2
SK2-2	Treatment	I3	2	SK2-2_Treatment_I3	0.226	1.184	28	SK	SK2	2
SK2-2	Treatment	I3	3	SK2-2_Treatment_I3	0.231	1.052	28	SK	SK2	2
SK2-3	Treatment	I3	1	SK2-3_Treatment_I3	0.227	1.178	28	SK	SK2	3
SK2-3	Treatment	I3	2	SK2-3_Treatment_I3	0.245	1.189	28	SK	SK2	3
SK2-3	Treatment	I3	3	SK2-3_Treatment_I3	0.22	1.141	28	SK	SK2	3
SK2-4	Treatment	I3	1	SK2-4_Treatment_I3	0.208	1.198	28	SK	SK2	4
SK2-4	Treatment	I3	2	SK2-4_Treatment_I3	0.2	1.253	28	SK	SK2	4
SK2-4	Treatment	I3	3	SK2-4_Treatment_I3	0.223	1.171	28	SK	SK2	4
SK2	Ancestral	Ancestral	1	SK2_Ancestral	0.324	0.968	28	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	2	SK2_Ancestral	0.303	1.235	28	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	3	SK2_Ancestral	0.313	1.021	28	SK	SK2	Ancestral
SK2-1	Control	I1	1	SK2-1_Control_I1	0.416	1.272	31	SK	SK2	1
SK2-1	Control	I1	2	SK2-1_Control_I1	0.438	1.309	31	SK	SK2	1
SK2-1	Control	I1	3	SK2-1_Control_I1	0.431	1.158	31	SK	SK2	1
SK2-2	Control	I1	1	SK2-2_Control_I1	0.12	0.300	31	SK	SK2	2
SK2-2	Control	I1	2	SK2-2_Control_I1	0.118	0.295	31	SK	SK2	2
SK2-2	Control	I1	3	SK2-2_Control_I1	0.137	0.252	31	SK	SK2	2
SK2-3	Control	I1	1	SK2-3_Control_I1	0.127	0.551	31	SK	SK2	3
SK2-3	Control	I1	2	SK2-3_Control_I1	0.123	0.490	31	SK	SK2	3
SK2-3	Control	I1	3	SK2-3_Control_I1	0.135	0.652	31	SK	SK2	3
SK2-4	Control	I1	1	SK2-4_Control_I1	0.134	0.482	31	SK	SK2	4
SK2-4	Control	I1	2	SK2-4_Control_I1	0.122	0.340	31	SK	SK2	4
SK2-4	Control	I1	3	SK2-4_Control_I1	0.11	0.357	31	SK	SK2	4
SK2-1	Control	I2	1	SK2-1_Control_I2	0.08	0.206	31	SK	SK2	1
SK2-1	Control	I2	2	SK2-1_Control_I2	0.0937	0.442	31	SK	SK2	1
SK2-1	Control	I2	3	SK2-1_Control_I2	0.106	0.523	31	SK	SK2	1
SK2-2	Control	I2	1	SK2-2_Control_I2	0.112	0.271	31	SK	SK2	2
SK2-2	Control	I2	2	SK2-2_Control_I2	0.109	0.224	31	SK	SK2	2
SK2-2	Control	I2	3	SK2-2_Control_I2	0.131	0.349	31	SK	SK2	2
SK2-3	Control	I2	1	SK2-3_Control_I2	0.102	0.262	31	SK	SK2	3
SK2-3	Control	I2	2	SK2-3_Control_I2	0.111	0.308	31	SK	SK2	3
SK2-3	Control	I2	3	SK2-3_Control_I2	0.116	0.403	31	SK	SK2	3
SK2-4	Control	I2	1	SK2-4_Control_I2	0.143	0.773	31	SK	SK2	4
SK2-4	Control	I2	2	SK2-4_Control_I2	0.135	0.673	31	SK	SK2	4
SK2-4	Control	I2	3	SK2-4_Control_I2	0.129	0.682	31	SK	SK2	4
SK2-1	Control	I3	1	SK2-1_Control_I3	0.117	0.843	31	SK	SK2	1
SK2-1	Control	I3	2	SK2-1_Control_I3	0.12	0.832	31	SK	SK2	1
SK2-1	Control	I3	3	SK2-1_Control_I3	0.128	0.994	31	SK	SK2	1
SK2-2	Control	I3	1	SK2-2_Control_I3	0.0794	0.125	31	SK	SK2	2
SK2-2	Control	I3	2	SK2-2_Control_I3	0.0899	0.190	31	SK	SK2	2
SK2-2	Control	I3	3	SK2-2_Control_I3	0.107	0.250	31	SK	SK2	2
SK2-3	Control	I3	1	SK2-3_Control_I3	0.106	0.386	31	SK	SK2	3
SK2-3	Control	I3	2	SK2-3_Control_I3	0.117	0.357	31	SK	SK2	3
SK2-3	Control	I3	3	SK2-3_Control_I3	0.118	0.454	31	SK	SK2	3
SK2-4	Control	I3	1	SK2-4_Control_I3	0.116	0.372	31	SK	SK2	4
SK2-4	Control	I3	2	SK2-4_Control_I3	0.102	0.273	31	SK	SK2	4
SK2-4	Control	I3	3	SK2-4_Control_I3	0.087	0.243	31	SK	SK2	4
SK2-1	Treatment	I1	1	SK2-1_Treatment_I1	0.137	1.110	31	SK	SK2	1
SK2-1	Treatment	I1	2	SK2-1_Treatment_I1	0.141	1.033	31	SK	SK2	1
SK2-1	Treatment	I1	3	SK2-1_Treatment_I1	0.146	1.039	31	SK	SK2	1
SK2-2	Treatment	I1	1	SK2-2_Treatment_I1	0.606	1.199	31	SK	SK2	2
SK2-2	Treatment	I1	2	SK2-2_Treatment_I1	0.585	1.227	31	SK	SK2	2
SK2-2	Treatment	I1	3	SK2-2_Treatment_I1	0.657	1.187	31	SK	SK2	2
SK2-3	Treatment	I1	1	SK2-3_Treatment_I1	0.208	1.091	31	SK	SK2	3
SK2-3	Treatment	I1	2	SK2-3_Treatment_I1	0.211	1.017	31	SK	SK2	3
SK2-3	Treatment	I1	3	SK2-3_Treatment_I1	0.204	1.112	31	SK	SK2	3
SK2-4	Treatment	I1	1	SK2-4_Treatment_I1	0.213	1.117	31	SK	SK2	4
SK2-4	Treatment	I1	2	SK2-4_Treatment_I1	0.204	1.120	31	SK	SK2	4
SK2-4	Treatment	I1	3	SK2-4_Treatment_I1	0.21	1.054	31	SK	SK2	4
SK2-1	Treatment	I2	1	SK2-1_Treatment_I2	0.123	1.182	31	SK	SK2	1
SK2-1	Treatment	I2	2	SK2-1_Treatment_I2	0.134	1.033	31	SK	SK2	1
SK2-1	Treatment	I2	3	SK2-1_Treatment_I2	0.135	1.096	31	SK	SK2	1
SK2-2	Treatment	I2	1	SK2-2_Treatment_I2	0.166	1.043	31	SK	SK2	2
SK2-2	Treatment	I2	2	SK2-2_Treatment_I2	0.166	0.935	31	SK	SK2	2
SK2-2	Treatment	I2	3	SK2-2_Treatment_I2	0.17	1.014	31	SK	SK2	2
SK2-3	Treatment	I2	1	SK2-3_Treatment_I2	0.196	1.159	31	SK	SK2	3
SK2-3	Treatment	I2	2	SK2-3_Treatment_I2	0.194	1.177	31	SK	SK2	3
SK2-3	Treatment	I2	3	SK2-3_Treatment_I2	0.195	1.233	31	SK	SK2	3
SK2-4	Treatment	I2	1	SK2-4_Treatment_I2	0.217	1.071	31	SK	SK2	4
SK2-4	Treatment	I2	2	SK2-4_Treatment_I2	0.207	1.071	31	SK	SK2	4
SK2-4	Treatment	I2	3	SK2-4_Treatment_I2	0.205	1.275	31	SK	SK2	4
SK2-1	Treatment	I3	1	SK2-1_Treatment_I3	0.125	1.170	31	SK	SK2	1
SK2-1	Treatment	I3	2	SK2-1_Treatment_I3	0.142	1.130	31	SK	SK2	1
SK2-1	Treatment	I3	3	SK2-1_Treatment_I3	0.149	1.085	31	SK	SK2	1
SK2-2	Treatment	I3	1	SK2-2_Treatment_I3	0.177	1.119	31	SK	SK2	2
SK2-2	Treatment	I3	2	SK2-2_Treatment_I3	0.172	1.139	31	SK	SK2	2
SK2-2	Treatment	I3	3	SK2-2_Treatment_I3	0.183	1.069	31	SK	SK2	2
SK2-3	Treatment	I3	1	SK2-3_Treatment_I3	0.17	1.172	31	SK	SK2	3
SK2-3	Treatment	I3	2	SK2-3_Treatment_I3	0.172	1.168	31	SK	SK2	3
SK2-3	Treatment	I3	3	SK2-3_Treatment_I3	0.168	1.099	31	SK	SK2	3
SK2-4	Treatment	I3	1	SK2-4_Treatment_I3	0.209	1.076	31	SK	SK2	4
SK2-4	Treatment	I3	2	SK2-4_Treatment_I3	0.195	1.111	31	SK	SK2	4
SK2-4	Treatment	I3	3	SK2-4_Treatment_I3	0.19	1.265	31	SK	SK2	4
SK2	Ancestral	Ancestral	1	SK2_Ancestral	0.144	0.758	31	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	2	SK2_Ancestral	0.139	0.705	31	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	3	SK2_Ancestral	0.13	0.743	31	SK	SK2	Ancestral
SK2-1	Control	I1	1	SK2-1_Control_I1	0	0.048	32	SK	SK2	1
SK2-1	Control	I1	2	SK2-1_Control_I1	0	0.035	32	SK	SK2	1
SK2-1	Control	I1	3	SK2-1_Control_I1	0	0.051	32	SK	SK2	1
SK2-2	Control	I1	1	SK2-2_Control_I1	0	0.014	32	SK	SK2	2
SK2-2	Control	I1	2	SK2-2_Control_I1	0	0.015	32	SK	SK2	2
SK2-2	Control	I1	3	SK2-2_Control_I1	0	0.017	32	SK	SK2	2
SK2-3	Control	I1	1	SK2-3_Control_I1	0	0.104	32	SK	SK2	3
SK2-3	Control	I1	2	SK2-3_Control_I1	0	0.080	32	SK	SK2	3
SK2-3	Control	I1	3	SK2-3_Control_I1	0	0.075	32	SK	SK2	3
SK2-4	Control	I1	1	SK2-4_Control_I1	0	0.114	32	SK	SK2	4
SK2-4	Control	I1	2	SK2-4_Control_I1	0	0.079	32	SK	SK2	4
SK2-4	Control	I1	3	SK2-4_Control_I1	0	0.101	32	SK	SK2	4
SK2-1	Control	I2	1	SK2-1_Control_I2	0	0.055	32	SK	SK2	1
SK2-1	Control	I2	2	SK2-1_Control_I2	0	0.034	32	SK	SK2	1
SK2-1	Control	I2	3	SK2-1_Control_I2	0	0.040	32	SK	SK2	1
SK2-2	Control	I2	1	SK2-2_Control_I2	0	0.018	32	SK	SK2	2
SK2-2	Control	I2	2	SK2-2_Control_I2	0	0.014	32	SK	SK2	2
SK2-2	Control	I2	3	SK2-2_Control_I2	0	0.021	32	SK	SK2	2
SK2-3	Control	I2	1	SK2-3_Control_I2	0	0.049	32	SK	SK2	3
SK2-3	Control	I2	2	SK2-3_Control_I2	0	0.038	32	SK	SK2	3
SK2-3	Control	I2	3	SK2-3_Control_I2	0	0.036	32	SK	SK2	3
SK2-4	Control	I2	1	SK2-4_Control_I2	0	0.060	32	SK	SK2	4
SK2-4	Control	I2	2	SK2-4_Control_I2	0	0.021	32	SK	SK2	4
SK2-4	Control	I2	3	SK2-4_Control_I2	0	0.057	32	SK	SK2	4
SK2-1	Control	I3	1	SK2-1_Control_I3	0.0981	0.365	32	SK	SK2	1
SK2-1	Control	I3	2	SK2-1_Control_I3	0.0941	0.482	32	SK	SK2	1
SK2-1	Control	I3	3	SK2-1_Control_I3	0.114	0.580	32	SK	SK2	1
SK2-2	Control	I3	1	SK2-2_Control_I3	0	0.024	32	SK	SK2	2
SK2-2	Control	I3	2	SK2-2_Control_I3	0	0.023	32	SK	SK2	2
SK2-2	Control	I3	3	SK2-2_Control_I3	0	0.017	32	SK	SK2	2
SK2-3	Control	I3	1	SK2-3_Control_I3	0	0.084	32	SK	SK2	3
SK2-3	Control	I3	2	SK2-3_Control_I3	0	0.068	32	SK	SK2	3
SK2-3	Control	I3	3	SK2-3_Control_I3	0	0.062	32	SK	SK2	3
SK2-4	Control	I3	1	SK2-4_Control_I3	0	0.039	32	SK	SK2	4
SK2-4	Control	I3	2	SK2-4_Control_I3	0	0.040	32	SK	SK2	4
SK2-4	Control	I3	3	SK2-4_Control_I3	0	0.068	32	SK	SK2	4
SK2-1	Treatment	I1	1	SK2-1_Treatment_I1	0.12	0.834	32	SK	SK2	1
SK2-1	Treatment	I1	2	SK2-1_Treatment_I1	0.119	1.002	32	SK	SK2	1
SK2-1	Treatment	I1	3	SK2-1_Treatment_I1	0.131	0.926	32	SK	SK2	1
SK2-2	Treatment	I1	1	SK2-2_Treatment_I1	0.621	1.188	32	SK	SK2	2
SK2-2	Treatment	I1	2	SK2-2_Treatment_I1	0.622	1.190	32	SK	SK2	2
SK2-2	Treatment	I1	3	SK2-2_Treatment_I1	0.611	1.181	32	SK	SK2	2
SK2-3	Treatment	I1	1	SK2-3_Treatment_I1	0.189	1.024	32	SK	SK2	3
SK2-3	Treatment	I1	2	SK2-3_Treatment_I1	0.197	1.000	32	SK	SK2	3
SK2-3	Treatment	I1	3	SK2-3_Treatment_I1	0.187	0.890	32	SK	SK2	3
SK2-4	Treatment	I1	1	SK2-4_Treatment_I1	0.194	1.039	32	SK	SK2	4
SK2-4	Treatment	I1	2	SK2-4_Treatment_I1	0.185	0.994	32	SK	SK2	4
SK2-4	Treatment	I1	3	SK2-4_Treatment_I1	0.19	1.055	32	SK	SK2	4
SK2-1	Treatment	I2	1	SK2-1_Treatment_I2	0.0985	0.659	32	SK	SK2	1
SK2-1	Treatment	I2	2	SK2-1_Treatment_I2	0.108	0.750	32	SK	SK2	1
SK2-1	Treatment	I2	3	SK2-1_Treatment_I2	0.124	0.713	32	SK	SK2	1
SK2-2	Treatment	I2	1	SK2-2_Treatment_I2	0.156	0.942	32	SK	SK2	2
SK2-2	Treatment	I2	2	SK2-2_Treatment_I2	0.162	1.088	32	SK	SK2	2
SK2-2	Treatment	I2	3	SK2-2_Treatment_I2	0.138	1.012	32	SK	SK2	2
SK2-3	Treatment	I2	1	SK2-3_Treatment_I2	0.186	1.117	32	SK	SK2	3
SK2-3	Treatment	I2	2	SK2-3_Treatment_I2	0.174	1.017	32	SK	SK2	3
SK2-3	Treatment	I2	3	SK2-3_Treatment_I2	0.167	0.925	32	SK	SK2	3
SK2-4	Treatment	I2	1	SK2-4_Treatment_I2	0.205	1.013	32	SK	SK2	4
SK2-4	Treatment	I2	2	SK2-4_Treatment_I2	0.198	1.111	32	SK	SK2	4
SK2-4	Treatment	I2	3	SK2-4_Treatment_I2	0.202	0.998	32	SK	SK2	4
SK2-1	Treatment	I3	1	SK2-1_Treatment_I3	0.0946	0.359	32	SK	SK2	1
SK2-1	Treatment	I3	2	SK2-1_Treatment_I3	0.115	0.682	32	SK	SK2	1
SK2-1	Treatment	I3	3	SK2-1_Treatment_I3	0.133	0.725	32	SK	SK2	1
SK2-2	Treatment	I3	1	SK2-2_Treatment_I3	0.173	1.079	32	SK	SK2	2
SK2-2	Treatment	I3	2	SK2-2_Treatment_I3	0.171	0.789	32	SK	SK2	2
SK2-2	Treatment	I3	3	SK2-2_Treatment_I3	0.17	0.988	32	SK	SK2	2
SK2-3	Treatment	I3	1	SK2-3_Treatment_I3	0.151	0.914	32	SK	SK2	3
SK2-3	Treatment	I3	2	SK2-3_Treatment_I3	0.144	1.042	32	SK	SK2	3
SK2-3	Treatment	I3	3	SK2-3_Treatment_I3	0.153	1.016	32	SK	SK2	3
SK2-4	Treatment	I3	1	SK2-4_Treatment_I3	0.187	0.974	32	SK	SK2	4
SK2-4	Treatment	I3	2	SK2-4_Treatment_I3	0.177	1.016	32	SK	SK2	4
SK2-4	Treatment	I3	3	SK2-4_Treatment_I3	0.182	1.005	32	SK	SK2	4
SK2	Ancestral	Ancestral	1	SK2_Ancestral	0	0.091	32	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	2	SK2_Ancestral	0	0.126	32	SK	SK2	Ancestral
SK2	Ancestral	Ancestral	3	SK2_Ancestral	0	0.103	32	SK	SK2	Ancestral
SK2-1	Control	I1	1	SK2-1_Control_I1	0.157	1.313	20	SK	SK2	1
SK2-1	Control	I1	2	SK2-1_Control_I1	0.197	1.184	20	SK	SK2	1
SK2-1	Control	I1	3	SK2-1_Control_I1	0.17	1.302	20	SK	SK2	1
SK2-2	Control	I1	1	SK2-2_Control_I1	0.172	1.313	20	SK	SK2	2
SK2-2	Control	I1	2	SK2-2_Control_I1	0.17	1.280	20	SK	SK2	2
SK2-2	Control	I1	3	SK2-2_Control_I1	0.168	1.284	20	SK	SK2	2
SK2-3	Control	I1	1	SK2-3_Control_I1	0.167	1.218	20	SK	SK2	3
SK2-3	Control	I1	2	SK2-3_Control_I1	0.164	1.245	20	SK	SK2	3
SK2-3	Control	I1	3	SK2-3_Control_I1	0.169	1.285	20	SK	SK2	3
SK2-4	Control	I1	1	SK2-4_Control_I1	0.167	1.203	20	SK	SK2	4
SK2-4	Control	I1	2	SK2-4_Control_I1	0.166	1.278	20	SK	SK2	4
SK2-4	Control	I1	3	SK2-4_Control_I1	0.166	1.139	20	SK	SK2	4
SK2-1	Control	I2	1	SK2-1_Control_I2	0.171	1.214	20	SK	SK2	1
SK2-1	Control	I2	2	SK2-1_Control_I2	0.189	1.182	20	SK	SK2	1
